last_name, first_name,player_id,year,xslg,xwoba,xobp,xiso,exit_velocity_avg,barrel_batted_rate,solidcontact_percent,hard_hit_percent,sprint_speed,
Pujols, Albert,405395,2019,.422,.315,.310,.175,88.3,5.8,3.7,36.6,22.5,
Cabrera, Miguel,408234,2019,.433,.328,.334,.167,90.4,6.7,6.9,44.6,23.5,
Choo, Shin-Soo,425783,2019,.476,.362,.369,.214,91.9,9,8.8,48.7,26.6,
Molina, Yadier,425877,2019,.425,.315,.309,.161,87.4,3.8,7.4,35.1,22.5,
Cano, Robinson,429664,2019,.448,.330,.329,.168,90.9,7.4,6.2,46.3,24.6,
Encarnacion, Edwin,429665,2019,.516,.363,.345,.273,90.2,12.9,5.7,42.9,24.8,
Jones, Adam,430945,2019,.430,.318,.311,.174,86.1,6.7,5.4,31,26.9,
Granderson, Curtis,434158,2019,.385,.305,.309,.173,88.8,7.2,6.8,35.2,26.5,
Kendrick III, Howie,435062,2019,.614,.418,.388,.282,91.7,11.4,8.6,48.3,25.3,
Kinsler, Ian,435079,2019,.309,.256,.268,.102,84.3,2,3.9,22.9,26.3,
McCann, Brian,435263,2019,.400,.313,.318,.162,88.8,5.7,6.5,35.2,22.1,
Walker, Neil,435522,2019,.425,.337,.348,.161,86.4,6.5,5.7,31.6,25.5,
Suzuki, Kurt,435559,2019,.458,.341,.339,.179,86,6.5,4.5,32.4,25.2,
Desmond, Ian,435622,2019,.481,.340,.323,.211,90.9,10.4,4.9,42.5,27.5,
Cruz Jr., Nelson,443558,2019,.638,.416,.378,.348,93.7,19.9,8.3,51.5,25.3,
Peralta, David,444482,2019,.379,.304,.317,.133,90.1,5.4,4.7,40.9,26.9,
Prado, Martin,445988,2019,.336,.272,.285,.085,87,0.5,4.3,28.6,25.6,
Longoria, Evan,446334,2019,.491,.351,.340,.222,89.7,7.5,8.4,40.8,26.4,
Davis, Chris,448801,2019,.369,.292,.298,.166,89.1,10.5,8.8,39.2,24.9,
Fowler, Dexter,451594,2019,.417,.336,.354,.170,85.5,7.4,4.6,28.8,27.7,
Flowers, Tyler,452095,2019,.380,.289,.291,.184,90.1,11.3,4.8,41.1,25.2,
Pence, Hunter,452254,2019,.510,.361,.341,.232,91.5,9.1,8.7,42.6,28.6,
Cabrera, Asdrubal,452678,2019,.407,.317,.326,.170,89.1,5.7,6.3,35.3,25.4,
Blackmon, Charlie,453568,2019,.531,.370,.350,.234,88.7,8.3,7.9,40.3,26.7,
Frazier, Todd,453943,2019,.398,.307,.309,.169,88.3,7,7,38.3,25.2,
Maldonado, Martin,455117,2019,.372,.289,.291,.163,88,7.2,6.8,34.2,24.1,
Chirinos, Robinson,455139,2019,.383,.311,.325,.174,87,7.7,6.9,37,25.2,
Markakis, Nick,455976,2019,.430,.350,.372,.131,91.2,3,4.7,44.3,26.0,
Castillo, Welington,456078,2019,.426,.300,.278,.208,89.5,11.4,7,42.4,23.7,
Cain, Lorenzo,456715,2019,.408,.330,.346,.125,89.5,4.1,5.2,42.1,27.9,
McCutchen, Andrew,457705,2019,.443,.357,.377,.189,90.6,7.3,5.5,40.9,28.9,
Upton, Justin,457708,2019,.428,.318,.315,.208,87.2,11.6,6.2,37,26.7,
Maybin, Cameron,457727,2019,.453,.339,.336,.200,89.4,10.2,3.6,39.5,28.7,
Turner, Justin,457759,2019,.510,.374,.368,.227,90.3,7.8,9.3,43,26.1,
Posey III, Buster,457763,2019,.409,.310,.312,.161,88.6,4.8,6.8,36.3,24.1,
Bruce, Jay,457803,2019,.531,.336,.285,.291,90.2,13.4,8.2,43.7,26.8,
Votto, Joey,458015,2019,.437,.342,.353,.183,88.9,6.9,5.7,38.2,25.0,
Gardner, Brett,458731,2019,.360,.293,.307,.131,87.7,3.9,6,32.6,28.9,
Braun, Ryan,460075,2019,.465,.336,.324,.201,91.5,9.5,5.3,45.3,26.6,
Gordon, Alex,460086,2019,.415,.326,.335,.163,88.7,5.4,5.6,38.4,25.3,
Andrus, Elvis,462101,2019,.397,.309,.313,.128,88.4,3.5,4.5,34.8,26.6,
Cabrera, Melky,466320,2019,.377,.297,.310,.100,88.2,2.1,4.7,33,25.9,
Sandoval, Pablo,467055,2019,.471,.333,.317,.202,89.8,11.4,4.3,44.7,24.3,
Ramos, Wilson,467092,2019,.398,.314,.328,.136,90,4.7,3.7,42.6,22.8,
Santana, Carlos,467793,2019,.478,.365,.383,.213,91.8,9.6,5.8,44.9,25.7,
Parra, Gerardo,467827,2019,.380,.295,.303,.138,86.2,4.6,5,21.6,26.4,
Mercer, Jordy,474568,2019,.443,.314,.301,.183,86.9,6.5,8.5,36.2,26.4,
Belt, Brandon,474832,2019,.455,.345,.348,.214,87.3,8.7,9.7,35.7,24.7,
Alonso, Yonder,475174,2019,.374,.305,.325,.143,88.2,5.4,6.7,39.6,23.2,
Smoak, Justin,475253,2019,.490,.368,.376,.242,90.3,11,8.4,39.8,23.4,
Brantley Jr., Michael,488726,2019,.462,.350,.352,.176,88.8,5.5,6.8,37.3,26.4,
Castro, Jason,488771,2019,.517,.363,.346,.271,91.8,17.2,7.9,47,26.2,
Gurriel, Yuli,493329,2019,.407,.315,.323,.132,89.3,3.6,4.2,38.1,27.6,
Rodriguez, Ronny,500135,2019,.415,.279,.248,.202,88.8,7.5,8.5,40.2,27.3,
Rojas, Miguel,500743,2019,.370,.303,.322,.099,87.4,2.6,2.3,28.8,26.3,
Escobar, Eduardo,500871,2019,.464,.326,.310,.209,87.8,7,7.9,31.4,27.6,
Martinez, Jose,500874,2019,.465,.345,.341,.195,89.1,7.1,8.7,39.8,26.1,
Lagares, Juan,501571,2019,.289,.247,.273,.084,88.3,3.2,2.7,34.4,28.0,
Davis, Khris,501981,2019,.426,.311,.299,.201,90.2,9.8,8,40.6,25.7,
Pham, Tommy,502054,2019,.460,.357,.370,.186,90.9,7.9,4.9,45,28.7,
Martinez, J.D.,502110,2019,.554,.388,.377,.259,91.3,11.5,7.5,47.9,26.7,
Reddick, Josh,502210,2019,.388,.308,.316,.120,86.1,3.4,4,29.4,26.7,
Dyson, Jarrod,502481,2019,.293,.272,.304,.074,83.9,1.6,2.5,21.8,28.4,
Murphy, Daniel,502517,2019,.369,.290,.301,.120,86.3,2.4,5.4,28.3,25.7,
Goldschmidt, Paul,502671,2019,.503,.355,.341,.249,90.2,11.3,9,42.8,26.6,
Gonzalez, Marwin,503556,2019,.434,.322,.319,.173,90.7,6.4,4.3,44,25.7,
Altuve, Jose,514888,2019,.469,.335,.319,.210,87.4,8.1,4,34.5,28.6,
Hernandez, Cesar,514917,2019,.370,.299,.316,.110,86.1,2.7,2.5,28.3,28.7,
Segura, Jean,516416,2019,.400,.309,.313,.131,88.2,3.2,5.9,32.9,27.6,
Castro, Starlin,516770,2019,.432,.311,.299,.166,88.5,6.2,4.1,37.7,26.9,
Marte, Starling,516782,2019,.494,.353,.338,.205,88.6,8,5.5,38.6,29.0,
