last_name, first_name,player_id,year,xslg,xwoba,xobp,xiso,exit_velocity_avg,barrel_batted_rate,solidcontact_percent,hard_hit_percent,sprint_speed,
Encarnacion, Edwin,429665,2020,.366,.277,.257,.205,85.4,13.2,4.7,33,25.4,
Peralta, David,444482,2020,.371,.296,.301,.114,89.2,5,6.3,36.3,27.0,
Longoria, Evan,446334,2020,.522,.363,.327,.241,91.7,11.5,3.8,45.2,26.6,
Fowler, Dexter,451594,2020,.351,.292,.300,.137,84.5,4.8,12.9,27.4,26.6,
Flowers, Tyler,452095,2020,.322,.282,.300,.133,93,8.6,11.4,45.7,24.2,
Cabrera, Asdrubal,452678,2020,.427,.316,.306,.185,89.5,6.5,8.4,38.3,24.8,
Blackmon, Charlie,453568,2020,.429,.332,.339,.153,86.9,4.9,5.5,29.7,26.8,
Chirinos, Robinson,455139,2020,.254,.229,.241,.088,84.5,1.9,9.3,24.1,23.3,
Gardner, Brett,458731,2020,.370,.327,.357,.144,89.2,5.2,8.3,36.5,28.2,
Gordon, Alex,460086,2020,.352,.301,.318,.122,82.8,3.2,4,25.4,25.0,
Sandoval, Pablo,467055,2020,.343,.289,.304,.110,91.9,3,7.6,51.5,24.0,
Ramos, Wilson,467092,2020,.419,.316,.306,.172,89,7.1,6.3,42,23.3,
Santana, Carlos,467793,2020,.445,.369,.390,.195,88,6.7,8.5,36.6,25.5,
Belt, Brandon,474832,2020,.597,.422,.406,.310,90.7,16.8,9.7,46.9,25.3,
Smoak, Justin,475253,2020,.327,.260,.260,.139,89.6,3.8,7.7,39.7,22.9,
Brantley Jr., Michael,488726,2020,.413,.325,.327,.153,88.7,4.9,6.3,37.3,26.2,
Castro, Jason,488771,2020,.485,.352,.336,.248,92.7,14.9,8.5,55.3,26.6,
Escobar, Eduardo,500871,2020,.394,.305,.316,.132,88.6,5.5,3.7,31.7,28.0,
Pham, Tommy,502054,2020,.452,.355,.356,.191,92.8,7.3,7.3,50,28.2,
Martinez, J.D.,502110,2020,.444,.318,.305,.216,89.5,11,7.8,41.6,25.9,
Murphy, Daniel,502517,2020,.345,.267,.278,.106,85.1,4.9,1.9,25.2,26.5,
Gonzalez, Marwin,503556,2020,.401,.314,.315,.162,89.2,5.1,5.1,38.4,25.5,
Leon, Sandy,506702,2020,.310,.297,.331,.131,84.9,4.4,4.4,28.9,23.6,
Hernandez, Cesar,514917,2020,.396,.330,.346,.123,89.1,4,6.8,37.3,28.5,
Donaldson, Josh,518626,2020,.413,.344,.366,.203,92.8,6.9,5.2,53.4,24.9,
Freeman, Freddie,518692,2020,.660,.464,.462,.319,92.4,14.7,4.5,54.2,26.4,
LeMahieu, DJ,518934,2020,.453,.361,.371,.145,91.3,2.9,9.1,45.7,26.1,
Moustakas, Mike,519058,2020,.430,.335,.340,.191,88.8,9.5,4.8,40,24.9,
Rizzo, Anthony,519203,2020,.411,.353,.381,.146,87.7,7.8,4.8,34.7,24.8,
Romine, Austin,519222,2020,.294,.229,.228,.089,87.9,4.8,8.3,47.6,25.1,
Villar, Jonathan,542340,2020,.277,.253,.279,.069,86.6,1.5,3.7,35.3,27.1,
Aguilar, Jesus,542583,2020,.452,.345,.348,.182,89.3,7.2,5.9,37.5,24.5,
Berti, Jon,542932,2020,.316,.323,.374,.074,86.6,3.5,3.5,33.7,29.2,
Gomes, Yan,543228,2020,.458,.335,.320,.178,89.9,5.6,8.9,37.8,26.0,
Semien, Marcus,543760,2020,.344,.281,.287,.141,86.2,5,6.8,28.6,28.1,
Shaw, Travis,543768,2020,.436,.323,.309,.195,90.9,7.9,9.6,44.7,25.0,
Wolters, Tony,547172,2020,.346,.294,.313,.081,84.1,0,5.6,20.8,26.0,
Harper, Bryce,547180,2020,.658,.454,.451,.350,92.5,17.3,4,50.7,27.9,
Santana, Domingo,570267,2020,.345,.307,.328,.152,85.5,6.7,6.7,33.3,26.8,
Holt, Brock,571788,2020,.288,.267,.294,.066,84,1.4,1.4,18.1,25.6,
Muncy, Max,571970,2020,.477,.364,.365,.244,88.5,12.4,8.3,40,27.3,
Myers, Wil,571976,2020,.584,.393,.348,.302,91,14.8,8.5,45.8,28.3,
Piscotty, Stephen,572039,2020,.398,.293,.281,.161,88.1,6.5,7.4,39.8,26.5,
Pollock, AJ,572041,2020,.499,.346,.313,.228,89.6,10.5,7.8,43.1,28.2,
Carpenter, Matt,572761,2020,.404,.333,.349,.190,88.2,9.8,4.3,35.9,25.6,
Dickerson, Corey,572816,2020,.400,.308,.306,.147,85.7,5.7,3.1,30.8,27.0,
Ruf, Darin,573131,2020,.448,.346,.344,.201,89.4,9.4,9.4,43.8,25.7,
Yastrzemski, Mike,573262,2020,.488,.364,.360,.238,88.2,10.9,9.5,42.3,27.5,
Iglesias, Jose,578428,2020,.498,.385,.385,.142,86.2,3.2,5.6,36.5,27.1,
Casali, Curt,592200,2020,.341,.308,.334,.156,88.6,6.4,14.9,42.6,24.1,
Judge, Aaron,592450,2020,.535,.371,.338,.275,92.2,11.6,10.1,40.6,26.8,
Moran, Colin,592567,2020,.476,.348,.331,.224,91.9,13.4,2.4,47.2,24.2,
Realmuto, J.T.,592663,2020,.498,.356,.331,.252,90.2,13.6,5.6,42.4,28.2,
Merrifield, Whit,593160,2020,.439,.336,.334,.146,86.1,5.1,4.6,27.3,28.4,
Bonifacio, Jorge,593528,2020,.301,.255,.262,.098,82.9,3.3,3.3,27.9,28.4,
Polanco, Jorge,593871,2020,.381,.304,.308,.118,86.6,2.8,5.1,33.3,27.8,
Duvall, Adam,594807,2020,.514,.341,.293,.286,88.1,13.9,5.1,40.1,28.0,
Eaton, Adam,594809,2020,.387,.301,.303,.140,87.8,4.6,3.8,38.2,27.9,
Baez, Javier,595879,2020,.380,.276,.253,.165,89.4,8.1,7.4,40.3,27.9,
Cave, Jake,595909,2020,.332,.272,.277,.119,87.4,4.3,10.1,39.1,27.9,
Hedges, Austin,595978,2020,.336,.281,.291,.126,90.2,7.7,5.8,38.5,23.7,
Story, Trevor,596115,2020,.455,.334,.321,.203,89.9,8.7,7.6,41.3,29.0,
La Stella, Tommy,600303,2020,.420,.347,.364,.147,88,4.8,3.7,28.3,25.4,
Nunez, Renato,600524,2020,.431,.315,.298,.204,86.3,12.1,4.5,36.4,26.6,
Anderson, Brian,605119,2020,.426,.324,.321,.199,87.4,9.6,6.7,39.3,26.4,
Betts, Mookie,605141,2020,.481,.359,.356,.200,90.7,7.7,11,43.4,28.3,
Davis, J.D.,605204,2020,.428,.357,.379,.171,90.1,8.9,4.4,45.2,27.2,
Panik, Joe,605412,2020,.345,.320,.356,.101,87.5,1.1,7.5,33.3,26.4,
Peraza, Jose,606299,2020,.357,.288,.290,.119,85.4,4.3,5.3,27.7,28.2,
Nimmo, Brandon,607043,2020,.425,.361,.383,.172,87.2,7.7,4.2,32.9,28.0,
Ramirez, Jose,608070,2020,.505,.372,.361,.242,88.7,10.2,6.2,35.6,27.2,
Reyes, Franmil,614177,2020,.434,.336,.322,.194,92.4,12.9,4.8,44.9,26.2,
Taylor, Chris,621035,2020,.489,.372,.367,.218,88,11.5,8.4,45,28.4,
Santander, Anthony,623993,2020,.516,.358,.339,.228,88.6,10.2,6.3,36.7,26.7,
Alonso, Pete,624413,2020,.459,.330,.319,.237,90.2,12.8,4.7,41.2,26.2,
Frazier, Adam,624428,2020,.376,.307,.315,.126,85.5,4,2.9,25.1,27.1,
Soler, Jorge,624585,2020,.487,.354,.339,.244,92.5,18.9,6.7,51.1,26.5,
Calhoun, Willie,641432,2020,.269,.232,.242,.076,89.3,1.2,3.5,38.8,25.5,
Crawford, J.P.,641487,2020,.357,.315,.340,.102,85.8,1.8,6.6,31.1,26.6,
Rosario, Amed,642708,2020,.333,.256,.249,.105,86.5,3.7,4.6,33,28.7,
Cooper, Garrett,643265,2020,.518,.383,.371,.215,90.1,10.1,3.4,41.6,25.9,
McNeil, Jeff,643446,2020,.405,.335,.354,.129,86.6,2.5,6.8,26.5,27.1,
Toro, Abraham,647351,2020,.334,.288,.302,.113,86.1,3.1,7.8,28.1,27.2,
Haseley, Adam,656514,2020,.340,.303,.339,.072,86.6,1.5,1.5,31.8,26.8,
Schwarber, Kyle,656941,2020,.434,.335,.335,.214,92.8,11.2,8.8,47.2,26.9,
Tucker, Cole,657061,2020,.256,.218,.229,.061,83.1,2.5,0,25,28.5,
Olivares, Edward,658668,2020,.366,.286,.287,.106,82.7,5.6,2.8,27.8,28.9,
Ohtani, Shohei,660271,2020,.429,.336,.335,.190,89.1,10.7,5.8,42.7,28.8,
Acuna Jr., Ronald,660670,2020,.596,.421,.409,.341,92.4,16,18,57,29.2,
Bader, Harrison,664056,2020,.422,.327,.316,.223,86,11.9,11.9,35.8,29.5,
Fletcher, David,664058,2020,.351,.316,.352,.059,84.7,0.5,1.1,17.8,27.3,
Moore, Dylan,664238,2020,.461,.355,.353,.212,90.4,13.8,3.2,44.7,27.7,
Carlson, Dylan,666185,2020,.441,.314,.294,.196,87.4,9.2,14.5,42.1,27.9,
Gurriel Jr., Lourdes,666971,2020,.484,.345,.323,.204,90.8,11.7,3.1,49.4,26.3,
Murphy, Sean,669221,2020,.440,.348,.351,.223,92.2,12.7,5.1,49.4,25.6,
Senzel, Nick,669222,2020,.384,.294,.293,.150,88.3,3.6,16.1,33.9,29.3,
Hiura, Keston,669374,2020,.433,.317,.298,.224,87.4,14.2,4.5,39.6,27.1,
Lopez, Nicky,670032,2020,.308,.287,.319,.070,84.9,1.5,3.1,26.7,27.8,
Robert, Luis,673357,2020,.462,.326,.296,.238,87.9,13,9.2,40.5,29.1,
Molina, Yadier,425877,2020,.385,.298,.296,.131,84.7,2.4,7.9,25.4,23.1,
Upton, Justin,457708,2020,.430,.329,.316,.202,91.7,8.6,6.7,43.8,26.9,
Maybin, Cameron,457727,2020,.372,.295,.298,.134,87.8,5.9,2.9,35.3,27.6,
Votto, Joey,458015,2020,.478,.369,.377,.225,87.4,9.1,9.8,35.7,25.2,
